-2.51183553836 0.639791744746 	-2.42226374521 0.71477216124 	-0.908258342555 0.40661266184 	
-2.5816131007 0.611412497797 	-2.45386127314 0.728345742899 	-0.914475686038 0.442093671278 	
-2.62439674681 0.588954933108 	-2.42014186487 0.774429757868 	-0.92166244635 0.452945354434 	
-2.66962046331 0.559240413519 	-2.3442376989 0.829408012391 	-0.926449370482 0.456889335854 	
-2.73716067491 0.515660449534 	-2.263822891 0.870113939577 	-0.926911319216 0.456949610361 	
-2.82142854431 0.461532806707 	-2.19728953558 0.896075142548 	-0.920397108614 0.451600979898 	
-2.89363678029 0.413383519638 	-2.14682683713 0.915396838164 	-0.908713846178 0.442190265888 	
-2.94210799565 0.379184876463 	-2.11033403978 0.930560274822 	-0.896298871049 0.432024447391 	
-2.97482459704 0.355021323183 	-2.0856118282 0.940215603895 	-0.885538659979 0.423154130468 	
-2.99582326928 0.338897000928 	-2.06972790369 0.94409596146 	-0.876374745646 0.415586026758 	
-3.00845752865 0.328190258044 	-2.06010938846 0.944205142304 	-0.868236309471 0.408796388893 	
-3.01637340361 0.320317504431 	-2.05419191099 0.942808977376 	-0.861068767342 0.402695914176 	
-3.02178166045 0.314170425679 	-2.05006631089 0.941129594612 	-0.855002053347 0.397405366261 	
-3.02570697551 0.309350546273 	-2.04683147713 0.939595321291 	-0.850050824403 0.392987440347 	
-3.02863037789 0.305621117474 	-2.04414005899 0.938313317443 	-0.846099647023 0.389393922835 	
-3.03081806044 0.302781326231 	-2.04185259145 0.937284372 	-0.842981705885 0.386514781253 	
-3.0324455846 0.300653946869 	-2.03989803132 0.936477755488 	-0.840534357929 0.38422722501 	
-3.03364192144 0.299087865582 	-2.03822739936 0.935856133356 	-0.838618723541 0.382418827268 	
-3.03450629897 0.297958491978 	-2.03679952535 0.935384067587 	-0.837121598705 0.380993873036 	
-3.03511613508 0.297165517976 	-2.03557737048 0.935030748087 	-0.835952229485 0.379873248713 	
-3.03553188104 0.296629481341 	-2.03452761709 0.934770515293 	-0.835038462595 0.378992571857 	
-3.03580056489 0.296288147253 	-2.03362095826 0.934582529954 	-0.834323315577 0.378300040607 	
-3.03595859288 0.296093186784 	-2.03283226371 0.934450147967 	-0.833762069016 0.377754379795 	
-3.03603401003 0.296007321574 	-2.03214046116 0.934360236021 	-0.833319827558 0.377322980191 	
-3.03604832112 0.296001957497 	-2.03152819293 0.934302527135 	-0.832969494778 0.376980264037 	
-3.03601794577 0.296055268177 	-2.03098135128 0.934269054475 	-0.83269011388 0.37670628705 	
-3.03595537037 0.29615066726 	-2.0304885786 0.934253673608 	-0.832465526883 0.376485570518 	
-3.03587005264 0.296275604586 	-2.03004078831 0.93425166999 	-0.832283304698 0.376306144844 	
-3.03576912684 0.296420625868 	-2.02963073582 0.934259442523 	-0.832133902276 0.376158778831 	
-3.0356579505 0.296578643125 	-2.02925265131 0.934274251988 	-0.832009997084 0.376036366578 	
-3.03554052625 0.296744371616 	-2.02890193464 0.934294023133 	-0.831905974544 0.375933444635 	
-3.03541982614 0.296913897063 	-2.02857490737 0.934317190237 	-0.831817529817 0.375845814709 	
-3.03529804011 0.297084344135 	-2.02826861422 0.934342577331 	-0.831741360863 0.375770250617 	
-3.035176766 0.297253623155 	-2.02798066589 0.934369305753 	-0.831674932557 0.375704271753 	
-3.03505715446 0.297420237024 	-2.02770911563 0.934396723071 	-0.831616295851 0.375645968585 	
-3.03494001933 0.297583134311 	-2.02745236283 0.934424348589 	-0.831563949373 0.375593868607 	
-3.03482592151 0.297741597666 	-2.02720907811 0.934451831685 	-0.831516733659 0.375546833601 	
-3.03471523268 0.297895159182 	-2.02697814517 0.934478920012 	-0.831473750401 0.375503981 	
-3.03460818358 0.29804353631 	-2.02675861582 0.934505435272 	-0.831434300846 0.375464623792 	
-3.03450490054 0.298186583396 	-2.02654967517 0.934531254795 	-0.831397838826 0.375428224623 	
-3.03440543314 0.298324255102 	-2.02635061468 0.934556297542 	-0.831363934963 0.375394360773 	
-3.03430977501 0.298456578844 	-2.02616081132 0.934580513493 	-0.831332249384 0.375362697433 	
-3.03421787955 0.298583634066 	-2.02597971138 0.934603875606 	-0.831302510937 0.375332967326 	
-3.03412967172 0.298705536705 	-2.02580681792 0.934626373741 	-0.831274501343 0.375304955162 	
-3.03404505685 0.298822427564 	-2.02564168091 0.93464801007 	-0.831248043121 0.375278485777 	
-3.03396392725 0.298934463669 	-2.02548388962 0.934668795618 	-0.83122299037 0.375253415087 	
-3.03388616711 0.29904181185 	-2.02533306651 0.93468874767 	-0.831199221739 0.375229623168 	
-3.0338116561 0.299144644021 	-2.02518886247 0.934707887821 	-0.83117663505 0.375207008981 	
-3.03374027204 0.299243133728 	-2.02505095303 0.934726240522 	-0.831155143193 0.375185486322 	
-3.03367189284 0.299337453659 	-2.02491903525 0.934743832001 	-0.831134670968 0.375164980729 	
-3.03360639786 0.299427773865 	-2.0247928253 0.93476068946 	-0.831115152677 0.375145427096 	
-3.0335436689 0.299514260521 	-2.02467205636 0.934776840495 	-0.831096530255 0.375126767849 	
-3.03348359086 0.299597075089 	-2.02455647702 0.934792312663 	-0.831078751838 0.375108951526 	
-3.03342605219 0.299676373777 	-2.02444584981 0.934807133183 	-0.831061770652 0.375091931685 	
-3.03337094518 0.299752307215 	-2.02433995006 0.934821328716 	-0.831045544145 0.375075666052 	
-3.03331816607 0.299825020298 	-2.02423856489 0.934834925218 	-0.831030033315 0.375060115857 	
-3.03326761514 0.299894652138 	-2.02414149231 0.934847947845 	-0.831015202173 0.375045245308 	
-3.03321919668 0.299961336107 	-2.02404854046 0.934860420891 	-0.83100101733 0.375031021175 	
-3.03317281896 0.300025199939 	-2.02395952697 0.934872367755 	-0.830987447653 0.375017412466 	
-3.03312839414 0.300086365867 	-2.02387427831 0.934883810928 	-0.830974464001 0.375004390154 	
-3.03308583812 0.300144950793 	-2.02379262932 0.934894771998 	-0.830962039005 0.374991926969 	
-3.03304507048 0.300201066476 	-2.02371442263 0.93490527166 	-0.830950146885 0.37497999721 	
-3.03300601431 0.300254819722 	-2.0236395083 0.934915329734 	-0.830938763304 0.37496857661 	
-3.03296859607 0.300306312589 	-2.02356774336 0.934924965193 	-0.83092786524 0.374957642201 	
-3.03293274548 0.300355642586 	-2.02349899145 0.934934196188 	-0.830917430883 0.374947172218 	
-3.03289839534 0.300402902866 	-2.02343312248 0.934943040081 	-0.830907439537 0.374937146004 	
-3.03286548145 0.300448182428 	-2.02337001228 0.93495151347 	-0.830897871549 0.374927543934 	
-3.03283394243 0.300491566297 	-2.02330954232 0.934959632226 	-0.830888708232 0.374918347343 	
-3.03280371962 0.300533135712 	-2.02325159942 0.93496741152 	-0.830879931807 0.37490953847 	
-3.03277475693 0.300572968294 	-2.02319607549 0.934974865853 	-0.830871525346 0.374901100397 	
-3.03274700078 0.300611138218 	-2.02314286727 0.934982009088 	-0.830863472721 0.374893017003 	
-3.03272039991 0.300647716375 	-2.02309187608 0.934988854478 	-0.83085575856 0.374885272921 	
-3.03269490532 0.300682770517 	-2.02304300764 0.934995414692 	-0.830848368207 0.374877853492 	
-3.03267047017 0.300716365411 	-2.02299617184 0.935001701841 	-0.830841287677 0.374870744729 	
-3.03264704965 0.300748562972 	-2.02295128251 0.935007727507 	-0.830834503627 0.374863933284 	
