0.0678303297643 -0.603541512034 	-1.63047051093 0.116659262113 	-1.45228251319 -0.114199333024 	
0.0712723309078 -0.605171568438 	-1.6712622393 0.210799738075 	-1.60819813587 0.0737821664515 	
0.110208178444 -0.624241512789 	-1.6779985811 0.248673224908 	-1.65449036936 0.161649499291 	
0.229319331577 -0.681314862033 	-1.66394892319 0.231502875436 	-1.62862760406 0.0883898609734 	
0.319135121891 -0.714845566877 	-1.64694834618 0.159970899281 	-1.56877480903 -0.0840814989328 	
0.397827883398 -0.73415872339 	-1.6275646593 0.0766622935864 	-1.51032640727 -0.21969917274 	
0.466607178222 -0.743621222861 	-1.60869726446 -0.000170845925422 	-1.45406228789 -0.317163059531 	
0.527800891327 -0.747310918164 	-1.58676018385 -0.0655692859441 	-1.3831425301 -0.406803136853 	
0.574560574882 -0.746349642707 	-1.56819256748 -0.11019545718 	-1.30476548745 -0.513815856119 	
0.625540530186 -0.741628654597 	-1.55463274875 -0.137812183709 	-1.20109664313 -0.673772665345 	
0.683530002558 -0.734153515724 	-1.55425506289 -0.138526012794 	-1.10950727646 -0.802112231473 	
0.731822295501 -0.72606234959 	-1.56340951061 -0.120829898513 	-1.04381758686 -0.873452171557 	
0.781032800815 -0.715359555807 	-1.57024355516 -0.103930771225 	-0.980650000114 -0.920779251436 	
0.842168469606 -0.698340474261 	-1.57227939598 -0.0931226153994 	-0.910555093119 -0.962422988528 	
0.915569661638 -0.672624387077 	-1.57174738899 -0.0873153703927 	-0.834224181223 -1.00306924519 	
0.98762015398 -0.641978265903 	-1.57050545827 -0.0850811680532 	-0.765140065413 -1.03754346258 	
1.04632431841 -0.612704186813 	-1.56932906609 -0.0848248480371 	-0.705083912285 -1.06185516597 	
1.0939047281 -0.586264941367 	-1.56813227131 -0.0857077243495 	-0.650851842662 -1.07818615536 	
1.13558203456 -0.561057754393 	-1.56675865484 -0.0879588052649 	-0.599220643346 -1.09050101657 	
1.17401202653 -0.535775100718 	-1.56512585874 -0.091708077443 	-0.548470076762 -1.10080974266 	
1.21023163829 -0.509656124996 	-1.56321648203 -0.0966654101628 	-0.498101750269 -1.10989840719 	
1.24533446201 -0.48233353486 	-1.56106625791 -0.102352873294 	-0.448369903437 -1.11763159175 	
1.27973677546 -0.453874799277 	-1.55873465243 -0.108404538294 	-0.400325322836 -1.12391495323 	
1.31196167448 -0.425571798205 	-1.55627334201 -0.114528770286 	-0.356315451609 -1.12890624343 	
1.33885700211 -0.400184610934 	-1.55374805111 -0.120461111412 	-0.319309298847 -1.13286113561 	
1.35866379928 -0.380031650309 	-1.55124848651 -0.125971705201 	-0.290572744871 -1.13581423125 	
1.37240788856 -0.365313447801 	-1.54884515871 -0.130973408187 	-0.26914433484 -1.13781201851 	
1.38191509208 -0.354873872569 	-1.54656921343 -0.135504309721 	-0.25322667223 -1.13915520265 	
1.38857843151 -0.34746684755 	-1.54443087005 -0.139618605391 	-0.241238126952 -1.14013969173 	
1.39328611007 -0.342189542266 	-1.54243161073 -0.143358154262 	-0.232067870956 -1.14094036584 	
1.39661507104 -0.338429740249 	-1.54056820989 -0.146759024998 	-0.224956486703 -1.14164197499 	
1.39896500899 -0.335757042659 	-1.53883424285 -0.149856102695 	-0.219362590912 -1.14228278821 	
1.40062351331 -0.33385862886 	-1.53722102483 -0.15268363673 	-0.214887269922 -1.1428798403 	
1.40179859479 -0.332505788554 	-1.53571841904 -0.155274512056 	-0.211234142927 -1.14344108973 	
1.40263895292 -0.33153324424 	-1.53431557966 -0.15765942496 	-0.208184467989 -1.14397090546 	
1.40324918161 -0.33082360408 	-1.53300158932 -0.159866296307 	-0.205578552241 -1.14447238402 	
1.40370177942 -0.33029483782 	-1.53176594524 -0.161919982301 	-0.203300868934 -1.14494822566 	
1.40404643945 -0.329890356773 	-1.53059888107 -0.163842241605 	-0.201268252738 -1.14540099898 	
1.40431697044 -0.329571468274 	-1.52949154295 -0.165651883041 	-0.19942084836 -1.14583317419 	
1.40453628124 -0.329311852571 	-1.52843605432 -0.167365018715 	-0.197715399328 -1.14624708801 	
1.40471987853 -0.329093640109 	-1.52742550544 -0.16899536336 	-0.196120400876 -1.14664490289 	
1.40487827542 -0.328904686156 	-1.52645389821 -0.170554539872 	-0.194612663092 -1.14702857962 	
1.40501862868 -0.328736706416 	-1.52551606831 -0.172052367288 	-0.193174902628 -1.14739986562 	
1.40514584158 -0.328584015124 	-1.52460759971 -0.173497119279 	-0.191794066168 -1.14776029545 	
1.40526330262 -0.328442676883 	-1.52372474034 -0.174895748946 	-0.190460166192 -1.14811119937 	
1.4053733786 -0.328309939033 	-1.52286432397 -0.176254080215 	-0.189165471814 -1.1484537163 	
1.40547774319 -0.328183852596 	-1.52202370035 -0.177576968568 	-0.187903944374 -1.14878880874 	
1.40557759596 -0.328063019252 	-1.5212006743 -0.178868434912 	-0.186670841346 -1.14911727797 	
1.40567380845 -0.327946422255 	-1.52039345305 -0.180131776664 	-0.185462435945 -1.14943977861 	
1.4057670221 -0.327833313131 	-1.51960060127 -0.181369660007 	-0.184275816372 -1.14975683215 	
1.40585771392 -0.327723135434 	-1.51882100229 -0.182584196901 	-0.183108739905 -1.15006883937 	
1.40594624108 -0.327615473106 	-1.51805382453 -0.183777010038 	-0.181959524794 -1.15037609152 	
1.40603287122 -0.3275100152 	-1.51729849202 -0.184949288444 	-0.180826968153 -1.15067878079 	
