1.53819095223 0.681081121553 	1.93143806289 0.534684000679 	1.65398659046 0.627758723636 	
1.467541555 0.697099037809 	1.94372439381 0.53161324948 	1.59749149486 0.639209583082 	
1.34962239932 0.6915297316 	1.97421330806 0.529391549474 	1.47264670738 0.634006430686 	
1.21550378471 0.656462026144 	2.0373043753 0.532241561183 	1.29287814389 0.585127893132 	
1.09019445289 0.602184761465 	2.1593506634 0.548042959853 	1.0957986953 0.489450886362 	
0.998080669467 0.564783670906 	2.32432221493 0.57187525079 	0.955907212778 0.412643769906 	
0.938071141541 0.564778077485 	2.45805756465 0.580894151905 	0.872446895761 0.383382835423 	
0.917191562689 0.590130952288 	2.54530547769 0.579803404747 	0.808773946285 0.348652191166 	
0.933982643254 0.624275992071 	2.57467273129 0.576857998211 	0.767147583551 0.302358508393 	
0.969085911732 0.663262988424 	2.58427249829 0.573626140744 	0.720810406031 0.244938029573 	
1.01081804959 0.702212726397 	2.59142709099 0.570135366806 	0.665031571185 0.184451369519 	
1.05392555956 0.738155567258 	2.60011618227 0.565506952332 	0.619820796707 0.140899451762 	
1.0966071548 0.770229306614 	2.61040912123 0.559868767856 	0.590403947908 0.117498077449 	
1.13782893857 0.796931434946 	2.62261827472 0.553150345011 	0.572837983901 0.107701505778 	
1.17541109822 0.816157787285 	2.63776417468 0.544749339095 	0.565657256885 0.107079731283 	
1.21109481222 0.830648703852 	2.65590372786 0.534346205448 	0.564848616721 0.111577481712 	
1.24617853668 0.843429904727 	2.6756770952 0.522409979617 	0.56699792066 0.118749230667 	
1.27976038002 0.855199169503 	2.69509158279 0.51007849434 	0.570563160641 0.127547161853 	
1.31098190974 0.8657790277 	2.71275715325 0.49839270147 	0.574878216379 0.137388355691 	
1.34001126304 0.875125342052 	2.72843413903 0.487717169631 	0.579585604708 0.147801359223 	
1.36756280644 0.883395707602 	2.74266902489 0.477826686507 	0.584452713879 0.158376532927 	
1.39415391777 0.890755084056 	2.75609696291 0.468340397429 	0.589314153867 0.168775607529 	
1.41971934114 0.897272781061 	2.76892363284 0.459092970859 	0.594047244566 0.178730316303 	
1.44374683481 0.902926625488 	2.78089607793 0.450224182832 	0.598558180672 0.188033020226 	
1.46566718698 0.907677976224 	2.7916336971 0.442015584847 	0.602777784801 0.196540886871 	
1.48512269147 0.911546052086 	2.80090275236 0.434701096792 	0.6066653927 0.204186967263 	
1.50207486652 0.914616634745 	2.80871110674 0.428365733943 	0.610209806677 0.210977314384 	
1.51678459444 0.917016627653 	2.8152796755 0.422927296514 	0.613424551131 0.216976108306 	
1.52966836866 0.918888546304 	2.82091588765 0.418203130137 	0.616341175907 0.222284821297 	
1.54113817551 0.920365435427 	2.82588857853 0.414005080043 	0.619001357576 0.227018684173 	
1.55151224748 0.921555520823 	2.83037492182 0.410196091863 	0.621449150971 0.231287898054 	
1.56099698038 0.922539924698 	2.83446466646 0.40670090019 	0.623725110975 0.235186834846 	
1.56970837533 0.923376756896 	2.83818822534 0.40349177598 	0.625862804953 0.238789840148 	
1.57770723798 0.924106298936 	2.84154861246 0.400566411682 	0.627887509873 0.242151544454 	
1.58503160757 0.924755773711 	2.8445464532 0.397928056607 	0.629816621761 0.245309894877 	
1.59171756879 0.925343461532 	2.84719292265 0.395573429059 	0.631661127506 0.248290303447 	
1.59780742684 0.925881872755 	2.8495116444 0.393489157395 	0.633427447765 0.251109651708 	
1.60334951709 0.926379840564 	2.85153459842 0.391653790177 	0.635119131821 0.253779479156 	
1.60839476793 0.926843757411 	2.85329690118 0.39004165594 	0.63673815681 0.256308218115 	
1.61299325744 0.927278308525 	2.85483292019 0.388626231324 	0.638285800371 0.258702621282 	
1.61719193486 0.927686953981 	2.85617414854 0.387382277972 	0.639763164347 0.260968604696 	
1.62103351295 0.928072277608 	2.8573483868 0.386286891515 	0.641171453714 0.263111707773 	
1.62455616628 0.928436247647 	2.85837967336 0.385319844456 	0.642512101005 0.265137321322 	
1.62779368058 0.928780408883 	2.85928856491 0.384463548652 	0.643786801003 0.267050783944 	
1.63077581129 0.929106020299 	2.8600925418 0.383702844628 	0.644997497325 0.268857408127 	
1.63352871323 0.929414150736 	2.86080642888 0.383024730527 	0.646146345739 0.270562471155 	
1.63607537112 0.929705743433 	2.86144278561 0.38241808552 	0.647235668334 0.272171190228 	
1.63843599968 0.929981658221 	2.86201225054 0.381873411448 	0.648267906299 0.27368869222 	
1.64062840238 0.930242698152 	2.86252383859 0.381382601211 	0.649245575388 0.275119983628 	
1.64266828702 0.930489625524 	2.86298519469 0.380938735455 	0.650171226084 0.276469923582 	
1.64456954074 0.930723170923 	2.86340280904 0.380535906175 	0.6510474093 0.277743201281 	
1.64634446845 0.930944037795 	2.86378219921 0.380169064771 	0.651876647784 0.278944318335 	
1.64800399899 0.931152904305 	2.86412806388 0.379833891833 	0.652661413005 0.280077576015 	
1.64955786313 0.931350423668 	2.86444441243 0.379526685981 	0.653404107067 0.281147067063 	
1.65101474705 0.93153722372 	2.86473467388 0.37924426929 	0.654107049123 0.282156671577 	
1.65238242476 0.931713906229 	2.86500178859 0.378983907054 	0.654772465668 0.283110056395 	
