0.637474405987 0.067745153247  0.067745153247 0.12562650115  	0.889900342812 -0.0288457778296  -0.0288457778296 0.165228477111  	0.758834196577 0.0321577982458  0.0321577982458 0.143415527441  	
0.554670728426 0.130349399437  0.130349399437 0.119620139219  	0.892712212891 -0.036289817355  -0.036289817355 0.165649316029  	0.714649499355 0.0914757488211  0.0914757488211 0.138461093404  	
0.464134457288 0.170099480001  0.170099480001 0.129418358409  	0.887367080709 -0.0452329849453  -0.0452329849453 0.164659330577  	0.650907751236 0.159086279514  0.159086279514 0.147203398588  	
0.378130715566 0.189629011028  0.189629011028 0.14828804139  	0.858792769588 -0.062646006669  -0.062646006669 0.161522846519  	0.561530221722 0.221052801012  0.221052801012 0.177399013452  	
0.304064157756 0.1912830229  0.1912830229 0.165198179046  	0.765416926218 -0.103429686961  -0.103429686961 0.154091488206  	0.443966285094 0.247813219725  0.247813219725 0.213680647612  	
0.23636204638 0.169788178655  0.169788178655 0.161754907675  	0.585355243038 -0.158811901608  -0.158811901608 0.147150927721  	0.323112974683 0.227295653791  0.227295653791 0.223390090193  	
0.169996111138 0.131431125786  0.131431125786 0.136956778992  	0.400664758707 -0.177125076206  -0.177125076206 0.15393325128  	0.225880379808 0.186713879502  0.186713879502 0.212215148148  	
0.120692060267 0.10043697958  0.10043697958 0.113400935703  	0.268386384578 -0.171302811889  -0.171302811889 0.162694896269  	0.151990440677 0.151281606238  0.151281606238 0.203221184655  	
0.107039532332 0.0880829865513  0.0880829865513 0.0967167664724  	0.227617509473 -0.166018157776  -0.166018157776 0.165303938022  	0.120175066676 0.13482370738  0.13482370738 0.196856623073  	
0.109047464059 0.0818344732405  0.0818344732405 0.0815904960882  	0.218394638646 -0.163533027767  -0.163533027767 0.165322985916  	0.100073293739 0.118489298941  0.118489298941 0.1815008598  	
0.112027457384 0.0757610555454  0.0757610555454 0.0682549628228  	0.213172092234 -0.161501197368  -0.161501197368 0.164880672038  	0.0718575857596 0.0904415314012  0.0904415314012 0.151390641597  	
0.11346021752 0.0695783312126  0.0695783312126 0.0574391315818  	0.207445776277 -0.159017004302  -0.159017004302 0.164209469793  	0.0464561967817 0.0615603165499  0.0615603165499 0.118053397399  	
0.112587099343 0.0623768972688  0.0623768972688 0.0478061258043  	0.200947441604 -0.156107340382  -0.156107340382 0.163397245275  	0.0314941840654 0.0413239387031  0.0413239387031 0.0926835998118  	
0.112073960028 0.0555700007852  0.0555700007852 0.0397596001239  	0.193394660125 -0.152738568451  -0.152738568451 0.162499075245  	0.0237830314186 0.0293380571334  0.0293380571334 0.0770429479601  	
0.116327852249 0.0522341787819  0.0522341787819 0.0351293256887  	0.184087194207 -0.148572338387  -0.148572338387 0.161403444104  	0.0206545511031 0.0241386808318  0.0241386808318 0.0704093126277  	
0.12492940576 0.0519752893282  0.0519752893282 0.0331365172075  	0.172930243107 -0.143333139657  -0.143333139657 0.15984426812  	0.0198433846878 0.0227894374698  0.0227894374698 0.0691255478857  	
0.134835490555 0.0527848517  0.0527848517 0.0321163888848  	0.160732261345 -0.137145997186  -0.137145997186 0.157650051361  	0.0199492864475 0.0230806100017  0.0230806100017 0.070180473999  	
