368.267992608 753.305250081 	371.151108788 765.636882591 	369.13961349 759.124756035 	
365.552563837 746.59580022 	371.070255902 768.7644855 	369.231996258 756.817727571 	
330.180025882 683.043274631 	369.813935917 773.906702348 	371.062028237 754.45503519 	
319.017324697 668.899288539 	368.380444713 779.549969809 	372.206335755 752.448372243 	
324.297223061 674.323092817 	367.935098171 786.498185194 	372.108721595 750.679482211 	
329.113637978 680.158508142 	368.821136174 793.857910847 	371.431686384 749.109750239 	
330.67562617 682.414047981 	370.670158562 800.934468688 	370.581100895 747.650863177 	
328.059376417 678.845762017 	373.121308031 807.586919365 	369.702081341 746.255871384 	
322.027811455 669.880269149 	375.854611157 813.671041539 	368.843544447 744.910456458 	
314.570850879 658.226480144 	378.553704954 818.938105068 	368.030965437 743.626940425 	
308.358143998 648.05869926 	380.957562342 823.1669535 	367.282845502 742.428661593 	
304.282553603 641.196485973 	382.978977077 826.351092592 	366.606872937 741.328026838 	
301.840390811 637.085909843 	384.639502065 828.64029507 	366.001326369 740.325694854 	
300.409240628 634.718333584 	385.987320076 830.216174346 	365.460165819 739.417972089 	
299.573094503 633.352247216 	387.074975572 831.244106004 	364.97500564 738.597287873 	
299.095681479 632.556149955 	387.950879376 831.859630734 	364.537188679 737.853981612 	
298.839017447 632.091067385 	388.656472437 832.168015659 	364.139011106 737.178153123 	
298.717471189 631.821991251 	389.225785387 832.248602311 	363.77400766 736.560554366 	
298.676190369 631.669784733 	389.686082463 832.160313283 	363.436848972 735.992893536 	
298.679909123 631.586758988 	390.058927493 831.946687435 	363.123147166 735.467888359 	
298.706386434 631.544007966 	390.361279989 831.639900969 	362.829272651 734.979224694 	
298.74216478 631.524305123 	390.606449023 831.26377842 	362.552210301 734.521485849 	
298.779635449 631.51774752 	390.804866301 830.835988349 	362.289454829 734.090077024 	
298.814958124 631.518947017 	390.964695517 830.369636056 	362.038935964 733.681152188 	
298.846607209 631.52521268 	391.092308859 829.87442564 	361.798963719 733.291545399 	
298.874391556 631.535402473 	391.19266001 829.357517179 	361.568186665 732.918707454 	
298.898821136 631.549221541 	391.269577804 828.824167402 	361.345558622 732.560648295 	
298.920715341 631.566806895 	391.325999735 828.278215367 	361.130310707 732.21588479 	
298.940970926 631.588487268 	391.364160311 827.722456072 	360.921926382 731.883392521 	
298.960430331 631.614645035 	391.385745906 827.158932115 	360.720117392 731.562559261 	
298.97981045 631.645634773 	391.392024877 826.589164503 	360.524798619 731.253137362 	
298.999666452 631.681731798 	391.383959314 826.014337214 	360.336060086 730.955192177 	
299.020375742 631.723096387 	391.362302598 825.435445315 	360.154134826 730.66904425 	
299.042134005 631.76974712 	391.327684975 824.853412847 	359.979362044 730.395204182 	
299.064959795 631.82154162 	391.280687703 824.269184023 	359.812146061 730.134300756 	
299.088706614 631.878165657 	391.221905025 823.683789557 	359.65291262 729.88700488 	
299.113082533 631.939132649 	391.151992488 823.098388952 	359.502065219 729.653953729 	
299.137677425 632.003795409 	391.071700059 822.514289511 	359.359944804 729.435680706 	
299.161997099 632.071370783 	390.98188908 821.932943483 	359.226796255 729.232557096 	
299.185502445 632.140975981 	390.883533302 821.355925863 	359.102744564 729.044750394 	
299.20765061 632.211673549 	390.777705617 820.784896744 	358.987782409 728.872202321 	
299.22793449 632.282520421 	390.665553493 820.221553208 	358.881769363 728.714627034 	
299.245916815 632.352615826 	390.54826701 819.667576356 	358.784441534 728.571527492 	
299.261255793 632.421143134 	390.42704375 819.124578956 	358.695429245 728.442225945 	
299.273720501 632.487401869 	390.303054464 818.594058417 	358.614279805 728.325903425 	
299.283195683 632.550827804 	390.177412654 818.077358496 	358.540482332 728.221642992 	
299.289676964 632.611000874 	390.051150154 817.575641681 	358.473492032 728.128472142 	
299.293258476 632.667642153 	389.925199671 817.089872722 	358.412751961 728.045400962 	
299.294115417 632.720602238 	389.800384329 816.620812655 	358.357711128 727.971453896 	
299.292484097 632.7698438 	389.677413544 816.169021826 	358.307838429 727.905694251 	
299.288641718 632.815421096 	389.556884155 815.734870001 	358.262632491 727.847241476 	
299.282887617 632.857458799 	389.439285552 815.31855155 	358.221627847 727.795281961 	
299.275527096 632.896131945 	389.325007581 814.920103812 	358.184398068 727.74907441 	
299.266858421 632.931648189 	389.214350107 814.539427005 	358.150556523 727.70795098 	
299.257163114 632.964232955 	389.107533368 814.176304417 	358.11975544 727.671315362 	
299.24669935 632.994117686 	389.004708402 813.830421904 	358.091683815 727.638638779 	
299.235698037 633.021531019 	388.905967088 813.501386078 	358.066064639 727.609454766 	
299.224361113 633.046692571 	388.811351476 813.188740796 	358.042651801 727.583353337 	
299.212861534 633.069808898 	388.720862237 812.891981771 	358.021226903 727.559975016 	
299.201344475 633.091071179 	388.634466155 812.610569292 	358.001596181 727.539005047 	
299.189929343 633.11065422 	388.552102669 812.343939099 	357.98358761 727.520167956 	
299.178712258 633.12871639 	388.473689506 812.091511571 	357.967048275 727.503222603 	
299.167768748 633.145400203 	388.399127474 811.852699381 	357.95184201 727.487957739 	
299.157156465 633.160833305 	388.328304511 811.626913798 	357.937847321 727.474188083 	
299.1469178 633.175129676 	388.261099073 811.413569817 	357.924955559 727.461750894 	
299.137082304 633.18839093 	388.197382955 811.212090278 	357.913069347 727.450502995 	
299.12766888 633.200707619 	388.137023619 811.021909138 	357.902101206 727.440318196 	
299.118687723 633.212160478 	388.079886104 810.842474016 	357.891972376 727.431085085 	
299.110142002 633.222821582 	388.025834595 810.673248135 	357.882611798 727.422705116 	
299.10202931 633.232755403 	387.97473368 810.513711766 	357.873955232 727.415090973 	
299.094342887 633.242019746 	387.926449375 810.363363256 	357.865944494 727.408165163 	
