6772.50564897 3309.43120852  3309.43120852 6946.58593818  	3614.25265003 2490.43210121  2490.43210121 3441.4937548  	5604.99160276 3098.65634373  3098.65634373 6226.94954949  	
28718.1154427 13507.4986897  13507.4986897 19115.8521328  	862.64221606 565.684575522  565.684575522 1124.35688949  	3249.66440033 2066.84242426  2066.84242426 5067.63393899  	
50622.8592449 39446.2987456  39446.2987456 56395.0373449  	553.760134392 393.869437428  393.869437428 643.334790356  	1017.8554155 152.093936392  152.093936392 2791.50443336  	
55040.6086288 48323.3413441  48323.3413441 71080.5398255  	526.90414012 403.898982591  403.898982591 510.245852082  	988.338813525 119.254311597  119.254311597 2717.49890493  	
55419.5702627 50351.1602589  50351.1602589 75401.9017294  	447.725466179 342.265828026  342.265828026 387.747916168  	994.099312499 121.15270752  121.15270752 2744.69591972  	
55315.6737286 50860.0914774  50860.0914774 77046.6182448  	337.544863281 248.4606298  248.4606298 267.121207689  	996.711780398 123.039233571  123.039233571 2766.09889831  	
55213.8413106 51018.6230706  51018.6230706 77768.407387  	235.767096526 164.587691651  164.587691651 172.722194645  	997.768488479 124.041840287  124.041840287 2777.36812717  	
55153.6158561 51078.3888613  51078.3888613 78098.82339  	157.724592765 104.029947279  104.029947279 109.357646763  	998.242353106 124.528768247  124.528768247 2782.75786346  	
55122.6246986 51103.7850681  51103.7850681 78251.4195821  	102.048856284 64.4621112102  64.4621112102 70.5898230604  	998.46317337 124.757571717  124.757571717 2785.25892014  	
55107.6085719 51115.1635464  51115.1635464 78321.8562161  	64.5519841716 40.3701040678  40.3701040678 48.3122043058  	998.566320318 124.863590794  124.863590794 2786.40884484  	
55100.5368173 51120.3559836  51120.3559836 78354.2995697  	40.5265758975 25.9811231916  25.9811231916 35.2703416829  	998.614228939 124.912426686  124.912426686 2786.93627186  	
55097.2517003 51122.7377107  51122.7377107 78369.2171848  	24.8541768134 16.6140033895  16.6140033895 26.5835942951  	998.636366388 124.934866965  124.934866965 2787.17808714  	
55095.7356616 51123.8312312  51123.8312312 78376.068893  	15.0898138142 10.324178348  10.324178348 20.2515594016  	998.64656148 124.945167957  124.945167957 2787.28896594  	
55095.0382387 51124.333236  51124.333236 78379.2139652  	9.94636311572 6.74793619238  6.74793619238 16.0480228862  	998.651247756 124.949894571  124.949894571 2787.33981475  	
55094.7178867 51124.5636286  51124.5636286 78380.6571434  	7.33673146106 4.83084477674  4.83084477674 13.1467435878  	998.653399657 124.952063011  124.952063011 2787.36313658  	
55094.5708425 51124.6693436  51124.6693436 78381.3192629  	5.83794871938 3.53841904821  3.53841904821 10.4175601199  	998.654387276 124.953057762  124.953057762 2787.37383388  	
55094.5033707 51124.7178442  51124.7178442 78381.623013  	4.84488645479 2.34590947373  2.34590947373 7.15148214287  	998.654840427 124.953514082  124.953514082 2787.37874072  	
55094.4724158 51124.7400941  51124.7400941 78381.7623538  	4.02745562501 1.07628616918  1.07628616918 3.35885292937  	998.65504832 124.953723406  124.953723406 2787.38099154  	
55094.4582154 51124.7503009  51124.7503009 78381.8262731  	3.25099196763 0.201465037227  0.201465037227 0.717650832795  	998.655143689 124.953819426  124.953819426 2787.38202401  	
55094.4517012 51124.754983  51124.754983 78381.8555942  	2.4986862398 3.54627899787e-05  3.54627899787e-05 0.000177958852702  	998.655187439 124.953863473  124.953863473 2787.38249763  	
55094.4487123 51124.7571319  51124.7571319 78381.869047  	1.40866926624 8.91910513456e-26  8.91910513456e-26 1.23259516441e-24  	998.655207825 124.953884562  124.953884562 2787.38271983  	
55084.7555989 51141.1233461  51141.1233461 78419.5419645  	6.48955752563 -5.39576184599e-26  -5.39576184599e-26 4.93038065763e-26  	1001.7594736 138.128000624  138.128000624 2858.64212957  	
55123.3667433 51079.5717143  51079.5717143 78531.6974004  	61.6325244281 -5.14375243411e-27  -5.14375243411e-27 4.93038065763e-26  	1001.2706724 144.347237946  144.347237946 2895.20728178  	
55125.0905062 51043.8109978  51043.8109978 78643.5636293  	214.38277252 7.94057203759e-26  7.94057203759e-26 4.43734259187e-25  	1003.54816175 146.520399933  146.520399933 2919.28856087  	
55096.8268941 51029.7934187  51029.7934187 78748.0823626  	539.565570892 1.13134627653e-25  1.13134627653e-25 7.88860905221e-25  	1000.69579231 145.3642381  145.3642381 2933.41025544  	
55050.6311751 50994.2347935  50994.2347935 78769.5360048  	539.565572931 9.86076131527e-26  9.86076131527e-26 1.97215226305e-25  	1000.54995705 145.51953744  145.51953744 2935.48008184  	
55040.8758714 50994.5793388  50994.5793388 78797.8287298  	539.565572932 2.1630944604e-25  2.1630944604e-25 4.93038065763e-26  	1000.58382879 145.580707147  145.580707147 2936.0758365  	
55036.8062958 50996.264057  50996.264057 78811.6089186  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.60838718 145.604447954  145.604447954 2936.29392094  	
55035.024868 50997.1894816  50997.1894816 78817.6642666  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62019409 145.614103014  145.614103014 2936.3807569  	
55034.2598941 50997.6139615  50997.6139615 78820.2531173  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62540126 145.618109663  145.618109663 2936.4164702  	
55033.9352327 50997.7985016  50997.7985016 78821.3491773  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62763258 145.619785754  145.619785754 2936.43135354  	
55033.7981583 50997.8771582  50997.8771582 78821.8114469  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62857823 145.620489195  145.620489195 2936.4375901  	
55033.7404103 50997.9104229  50997.9104229 78822.0061086  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62897724 145.620784819  145.620784819 2936.44020931  	
55033.7161036 50997.9244463  50997.9244463 78822.0880284  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62914529 145.620909123  145.620909123 2936.44131035  	
55033.7058764 50997.9303505  50997.9303505 78822.1224939  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62921601 145.620961403  145.620961403 2936.44177337  	
55033.701574 50997.932835  50997.932835 78822.1369926  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62924577 145.620983392  145.620983392 2936.44196811  	
55033.6997641 50997.9338803  50997.9338803 78822.1430917  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62925829 145.620992642  145.620992642 2936.44205003  	
55033.6990027 50997.93432  50997.93432 78822.1456572  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926355 145.620996533  145.620996533 2936.44208449  	
55033.6986825 50997.934505  50997.934505 78822.1467364  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926577 145.620998169  145.620998169 2936.44209898  	
55033.6985478 50997.9345828  50997.9345828 78822.1471903  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.6292667 145.620998858  145.620998858 2936.44210508  	
55033.6984911 50997.9346155  50997.9346155 78822.1473813  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926709 145.620999147  145.620999147 2936.44210764  	
55033.6984673 50997.9346293  50997.9346293 78822.1474616  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926726 145.620999269  145.620999269 2936.44210872  	
55033.6984573 50997.9346351  50997.9346351 78822.1474954  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926733 145.620999321  145.620999321 2936.44210917  	
55033.698453 50997.9346375  50997.9346375 78822.1475096  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926736 145.620999342  145.620999342 2936.44210936  	
55033.6984513 50997.9346385  50997.9346385 78822.1475156  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926737 145.620999351  145.620999351 2936.44210944  	
55033.6984505 50997.934639  50997.934639 78822.1475181  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926737 145.620999355  145.620999355 2936.44210948  	
55033.6984502 50997.9346391  50997.9346391 78822.1475192  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999357  145.620999357 2936.44210949  	
55033.6984501 50997.9346392  50997.9346392 78822.1475196  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999357  145.620999357 2936.4421095  	
55033.69845 50997.9346392  50997.9346392 78822.1475198  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572933 3.40981311106e-25  3.40981311106e-25 1.97215226305e-25  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
55033.69845 50997.9346393  50997.9346393 78822.1475199  	539.565572932 2.16712974219e-25  2.16712974219e-25 4.93038065763e-26  	1000.62926738 145.620999358  145.620999358 2936.4421095  	
